"","gameid","date","type","teamid","team","home","away","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","X...","win","season","at.home","div","opponent"
"253",22300015,"2023-11-10","regular",1610612747,"LAL","PHX","LAL",48,122,42,84,50,12,27,44.4,26,34,76.5,9,34,43,27,11,9,7,20,3,"Yes",2024,FALSE,"West","PHX"
"254",22300015,"2023-11-10","regular",1610612756,"PHX","PHX","LAL",48,119,42,94,44.7,15,37,40.5,20,27,74.1,17,35,52,22,13,9,1,24,-3,"No",2024,TRUE,"West","LAL"
"255",22300016,"2023-11-10","regular",1610612760,"OKC","SAC","OKC",48,98,39,87,44.8,7,30,23.3,13,16,81.3,5,33,38,22,16,9,5,15,-7,"No",2024,FALSE,"West","SAC"
"256",22300016,"2023-11-10","regular",1610612758,"SAC","SAC","OKC",48,105,38,91,41.8,13,47,27.7,16,21,76.2,16,36,52,28,18,10,9,22,7,"Yes",2024,TRUE,"West","OKC"
"257",22300173,"2023-11-11","regular",1610612749,"MIL","ORL","MIL",48,97,38,77,49.4,9,29,31,12,25,48,5,31,36,25,19,9,6,24,-15,"No",2024,FALSE,"East","ORL"
"258",22300173,"2023-11-11","regular",1610612753,"ORL","ORL","MIL",48,112,36,84,42.9,10,26,38.5,30,35,85.7,15,28,43,24,16,9,2,17,15,"Yes",2024,TRUE,"East","MIL"
"259",22300174,"2023-11-11","regular",1610612738,"BOS","BOS","TOR",48,117,47,86,54.7,15,44,34.1,8,13,61.5,5,41,46,30,13,1,4,14,23,"Yes",2024,TRUE,"East","TOR"
"260",22300174,"2023-11-11","regular",1610612761,"TOR","BOS","TOR",48,94,35,91,38.5,10,37,27,14,16,87.5,7,30,37,25,9,8,1,14,-23,"No",2024,FALSE,"East","BOS"
"261",22300175,"2023-11-11","regular",1610612737,"ATL","ATL","MIA",48,109,38,87,43.7,18,46,39.1,15,18,83.3,15,33,48,23,22,6,6,19,-8,"No",2024,TRUE,"East","MIA"
"262",22300175,"2023-11-11","regular",1610612748,"MIA","ATL","MIA",48,117,41,84,48.8,12,38,31.6,23,25,92,7,32,39,23,15,10,4,14,8,"Yes",2024,FALSE,"East","ATL"
"263",22300176,"2023-11-11","regular",1610612739,"CLE","GSW","CLE",48,118,37,86,43,11,30,36.7,33,43,76.7,11,34,45,23,11,13,3,24,8,"Yes",2024,FALSE,"East","GSW"
"264",22300176,"2023-11-11","regular",1610612744,"GSW","GSW","CLE",48,110,37,90,41.1,13,38,34.2,23,30,76.7,15,40,55,26,20,5,3,29,-8,"No",2024,TRUE,"West","CLE"
"265",22300177,"2023-11-12","regular",1610612766,"CHA","NYK","CHA",48,107,44,94,46.8,12,35,34.3,7,11,63.6,15,21,36,21,12,5,4,25,-22,"No",2024,FALSE,"East","NYK"
"266",22300177,"2023-11-12","regular",1610612752,"NYK","NYK","CHA",48,129,47,87,54,15,36,41.7,20,30,66.7,10,30,40,25,9,8,4,18,22,"Yes",2024,TRUE,"East","CHA"
"267",22300178,"2023-11-12","regular",1610612751,"BKN","BKN","WAS",48,102,37,98,37.8,12,49,24.5,16,20,80,20,46,66,22,19,6,6,18,8,"Yes",2024,TRUE,"East","WAS"
"268",22300178,"2023-11-12","regular",1610612764,"WAS","BKN","WAS",48,94,33,88,37.5,10,41,24.4,18,25,72,7,35,42,20,12,14,3,15,-8,"No",2024,FALSE,"East","BKN"
"269",22300179,"2023-11-12","regular",1610612746,"LAC","LAC","MEM",48,101,37,85,43.5,12,34,35.3,15,23,65.2,8,33,41,26,16,9,3,23,-4,"No",2024,TRUE,"West","MEM"
"270",22300179,"2023-11-12","regular",1610612763,"MEM","LAC","MEM",48,105,37,88,42,13,41,31.7,18,24,75,11,30,41,25,16,7,6,23,4,"Yes",2024,FALSE,"West","LAC"
"271",22300180,"2023-11-12","regular",1610612754,"IND","PHI","IND",48,126,47,90,52.2,16,39,41,16,19,84.2,8,24,32,31,10,8,9,14,-11,"No",2024,FALSE,"East","PHI"
"272",22300180,"2023-11-12","regular",1610612755,"PHI","PHI","IND",48,137,53,105,50.5,14,33,42.4,17,20,85,23,31,54,28,12,5,7,15,11,"Yes",2024,TRUE,"East","IND"
"273",22300181,"2023-11-12","regular",1610612741,"CHI","CHI","DET",48,119,44,91,48.4,11,30,36.7,20,25,80,11,29,40,22,7,12,6,21,11,"Yes",2024,TRUE,"East","DET"
"274",22300181,"2023-11-12","regular",1610612765,"DET","CHI","DET",48,108,38,88,43.2,11,32,34.4,21,26,80.8,16,33,49,26,16,4,6,19,-11,"No",2024,FALSE,"East","CHI"
"275",22300182,"2023-11-12","regular",1610612743,"DEN","HOU","DEN",48,104,42,91,46.2,9,32,28.1,11,14,78.6,12,37,49,24,11,3,5,20,-3,"No",2024,FALSE,"West","HOU"
"276",22300182,"2023-11-12","regular",1610612745,"HOU","HOU","DEN",48,107,37,87,42.5,10,32,31.3,23,29,79.3,12,33,45,20,9,7,4,16,3,"Yes",2024,TRUE,"West","DEN"
"277",22300183,"2023-11-12","regular",1610612742,"DAL","NOP","DAL",48,136,50,102,49,20,53,37.7,16,21,76.2,8,34,42,29,6,7,6,19,12,"Yes",2024,FALSE,"West","NOP"
"278",22300183,"2023-11-12","regular",1610612740,"NOP","NOP","DAL",48,124,47,92,51.1,17,36,47.2,13,22,59.1,13,41,54,31,18,2,3,20,-12,"No",2024,TRUE,"West","DAL"
"279",22300184,"2023-11-12","regular",1610612748,"MIA","SAS","MIA",48,118,39,89,43.8,12,31,38.7,28,30,93.3,11,30,41,26,7,7,3,12,5,"Yes",2024,FALSE,"East","SAS"
"280",22300184,"2023-11-12","regular",1610612759,"SAS","SAS","MIA",48,113,42,91,46.2,19,44,43.2,10,12,83.3,11,39,50,35,17,3,6,21,-5,"No",2024,TRUE,"West","MIA"
"281",22300185,"2023-11-12","regular",1610612760,"OKC","PHX","OKC",48,111,40,82,48.8,10,27,37,21,25,84,6,27,33,23,9,9,8,21,12,"Yes",2024,FALSE,"West","PHX"
"282",22300185,"2023-11-12","regular",1610612756,"PHX","PHX","OKC",48,99,32,83,38.6,9,29,31,26,31,83.9,16,35,51,20,17,4,7,19,-12,"No",2024,TRUE,"West","OKC"
